                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     48,                0.28835,                0.52224,                  0.201,                0.93351,                0.99981,                      1,                  0.995,                0.98683,                0.99981,                      1,                  0.995,                0.98579,                0.19435,                0.31718,                0.28002,                0.48484,              0.0010694,              0.0010694,              0.0010694
                     49,                0.28674,                0.52383,                0.20215,                0.93483,                0.99845,                0.99802,                  0.995,                0.98558,                0.99845,                0.99802,                  0.995,                0.97856,                0.21087,                0.31031,                0.21145,                0.48081,              0.0010496,              0.0010496,              0.0010496
                     50,                0.28396,                0.51984,                0.19903,                0.93166,                0.99998,                      1,                  0.995,                0.98626,                0.99998,                      1,                  0.995,                0.97942,                0.24048,                0.31472,                0.26265,                0.51512,              0.0010298,              0.0010298,              0.0010298
                     51,                0.28637,                0.52065,                0.19905,                0.93293,                0.99972,                      1,                  0.995,                0.98361,                0.99972,                      1,                  0.995,                0.97992,                0.21591,                0.31509,                 0.1957,                0.48477,                0.00101,                0.00101,                0.00101
                     52,                 0.2772,                0.52246,                0.19093,                0.93198,                0.99988,                      1,                  0.995,                0.97998,                0.99988,                      1,                  0.995,                0.97166,                0.23076,                0.32293,                0.21907,                0.51456,              0.0009902,              0.0009902,              0.0009902
                     53,                0.28175,                0.50841,                 0.1978,                0.93107,                0.99988,                      1,                  0.995,                 0.9833,                0.99988,                      1,                  0.995,                0.97686,                 0.2306,                0.31336,                0.23004,                0.50253,              0.0009704,              0.0009704,              0.0009704
                     54,                0.27842,                0.50676,                0.19426,                0.93011,                      1,                0.99997,                  0.995,                0.98684,                      1,                0.99997,                  0.995,                0.98497,                0.20551,                0.30362,                0.17519,                0.48714,              0.0009506,              0.0009506,              0.0009506
                     55,                0.27845,                0.50954,                 0.1946,                0.92871,                0.99986,                      1,                  0.995,                0.99003,                0.99986,                      1,                  0.995,                0.98401,                0.19844,                0.31305,                 0.1694,                0.47415,              0.0009308,              0.0009308,              0.0009308
                     56,                0.27817,                0.50787,                0.19051,                 0.9303,                0.99989,                      1,                  0.995,                0.98901,                0.99989,                      1,                  0.995,                  0.987,                0.18941,                0.31037,                 0.1828,                0.48189,               0.000911,               0.000911,               0.000911
                     57,                0.27981,                0.51379,                  0.193,                0.92969,                0.99982,                      1,                  0.995,                0.98568,                0.99982,                      1,                  0.995,                0.98173,                0.23746,                0.32781,                0.26783,                0.52228,              0.0008912,              0.0008912,              0.0008912
                     58,                0.27949,                0.50984,                0.19606,                0.93108,                0.99999,                      1,                  0.995,                0.98804,                0.99999,                      1,                  0.995,                0.98401,                0.20668,                0.30394,                0.24057,                0.48361,              0.0008714,              0.0008714,              0.0008714
                     59,                 0.2795,                0.51321,                 0.1913,                0.93017,                      1,                0.99972,                  0.995,                0.98784,                      1,                0.99972,                  0.995,                0.98649,                0.19394,                0.30521,                 0.3166,                0.46776,              0.0008516,              0.0008516,              0.0008516
                     60,                0.27294,                0.51257,                0.18667,                0.92693,                0.99839,                0.99845,                0.99498,                0.98711,                0.99839,                0.99845,                0.99498,                0.98376,                0.23805,                0.33407,                0.25138,                0.51646,              0.0008318,              0.0008318,              0.0008318
                     61,                  0.281,                0.51334,                0.19121,                0.93035,                0.99965,                      1,                  0.995,                0.98593,                0.99965,                      1,                  0.995,                0.98459,                0.20569,                0.30264,                0.26579,                0.49133,               0.000812,               0.000812,               0.000812
                     62,                0.27559,                0.50901,                0.18694,                0.93101,                0.99982,                      1,                  0.995,                0.98503,                0.99982,                      1,                  0.995,                0.98368,                0.20425,                0.31434,                0.26229,                0.48605,              0.0007922,              0.0007922,              0.0007922
                     63,                 0.2695,                0.49537,                0.18261,                0.92663,                0.99981,                      1,                  0.995,                0.98869,                0.99981,                      1,                  0.995,                0.98686,                0.23164,                0.30382,                0.26374,                0.49909,              0.0007724,              0.0007724,              0.0007724
                     64,                0.27934,                0.51277,                0.18642,                0.93024,                0.99987,                      1,                  0.995,                 0.9866,                0.99987,                      1,                  0.995,                0.98463,                0.18861,                0.30152,                 0.2027,                0.46316,              0.0007526,              0.0007526,              0.0007526
                     65,                0.27619,                0.50085,                0.18452,                0.92697,                0.99991,                      1,                  0.995,                0.98895,                0.99991,                      1,                  0.995,                0.97447,                0.20697,                0.30704,                0.19403,                0.47867,              0.0007328,              0.0007328,              0.0007328
                     66,                0.27115,                0.49407,                0.18628,                  0.927,                0.99988,                      1,                  0.995,                0.98857,                0.99988,                      1,                  0.995,                0.98441,                0.19623,                0.30118,                 0.1816,                0.47743,               0.000713,               0.000713,               0.000713
                     67,                0.27528,                0.51022,                0.18604,                0.92926,                0.99987,                      1,                  0.995,                0.98764,                0.99987,                      1,                  0.995,                0.98586,                0.18948,                0.30467,                0.18667,                0.46048,              0.0006932,              0.0006932,              0.0006932
                     68,                0.26763,                0.49081,                0.18151,                0.92619,                      1,                0.99966,                  0.995,                0.98431,                      1,                0.99966,                  0.995,                0.98005,                0.23923,                0.30371,                0.22788,                 0.5191,              0.0006734,              0.0006734,              0.0006734
                     69,                0.26677,                0.50214,                0.17623,                0.92319,                0.99987,                      1,                  0.995,                0.98584,                0.99987,                      1,                  0.995,                0.98253,                0.21706,                0.30236,                0.23284,                0.49453,              0.0006536,              0.0006536,              0.0006536
                     70,                0.26937,                0.50346,                0.17642,                 0.9287,                0.99982,                      1,                  0.995,                0.98591,                0.99982,                      1,                  0.995,                0.98579,                0.20799,                0.30954,                0.25176,                0.48681,              0.0006338,              0.0006338,              0.0006338
                     71,                0.26504,                0.48889,                0.17481,                0.92572,                0.99971,                      1,                  0.995,                0.98699,                0.99971,                      1,                  0.995,                0.98425,                0.21006,                0.30468,                0.35162,                0.48703,               0.000614,               0.000614,               0.000614
                     72,                0.26757,                0.49094,                0.17951,                0.92431,                0.99991,                      1,                  0.995,                0.98862,                0.99991,                      1,                  0.995,                0.98494,                0.22477,                0.29127,                0.21445,                0.49358,              0.0005942,              0.0005942,              0.0005942
                     73,                 0.2666,                0.49337,                0.17287,                0.92429,                 0.9999,                      1,                  0.995,                0.99037,                 0.9999,                      1,                  0.995,                0.98665,                 0.1879,                0.29707,                0.29064,                0.46141,              0.0005744,              0.0005744,              0.0005744
                     74,                0.26636,                0.49178,                 0.1765,                0.92608,                 0.9999,                      1,                  0.995,                0.98868,                 0.9999,                      1,                  0.995,                0.98526,                0.21423,                0.29875,                0.26462,                0.48501,              0.0005546,              0.0005546,              0.0005546
                     75,                0.26993,                0.50088,                0.17764,                0.92285,                0.99989,                      1,                  0.995,                0.98966,                0.99989,                      1,                  0.995,                0.98598,                0.19645,                0.30012,                0.19568,                 0.4736,              0.0005348,              0.0005348,              0.0005348
                     76,                0.26243,                0.48435,                0.17634,                0.92508,                0.99987,                      1,                  0.995,                0.99017,                0.99987,                      1,                  0.995,                0.98734,                0.21574,                0.29546,                0.25924,                0.49257,               0.000515,               0.000515,               0.000515
                     77,                0.26437,                0.48745,                0.17028,                0.92658,                0.99989,                      1,                  0.995,                0.98944,                0.99989,                      1,                  0.995,                 0.9869,                 0.2016,                 0.2934,                   0.24,                0.47799,              0.0004952,              0.0004952,              0.0004952
